model,seed,bucket,recall_at_5,users
corrected_k2_stronger,16,head,0.564186046511628,215
corrected_k2_stronger,17,tail,0.3301020408163265,196
corrected_k2_stronger,17,lower-mid,0.4290186125211506,197
corrected_k2_stronger,17,upper-mid,0.4697348484848485,220
corrected_k2_stronger,17,head,0.5658028792912514,215
corrected_k2_stronger,18,tail,0.34829931972789113,196
corrected_k2_stronger,18,lower-mid,0.39830795262267343,197
corrected_k2_stronger,18,upper-mid,0.4445779220779221,220
corrected_k2_stronger,18,head,0.5546843853820599,215
corrected_k2_stronger,19,tail,0.3112244897959183,196
corrected_k2_stronger,19,lower-mid,0.45033840947546533,197
corrected_k2_stronger,19,upper-mid,0.4653409090909091,220
corrected_k2_stronger,19,head,0.5500664451827243,215
lightgcn_k1,0,tail,0.3137755102040816,196
lightgcn_k1,0,lower-mid,0.434263959390863,197
lightgcn_k1,0,upper-mid,0.48692640692640693,220
lightgcn_k1,0,head,0.5698781838316722,215
lightgcn_k1,1,tail,0.3149659863945578,196
lightgcn_k1,1,lower-mid,0.4228426395939086,197
lightgcn_k1,1,upper-mid,0.47951298701298706,220
lightgcn_k1,1,head,0.5694905869324474,215
lightgcn_k1,2,tail,0.32534013605442175,196
lightgcn_k1,2,lower-mid,0.4279187817258883,197
lightgcn_k1,2,upper-mid,0.5025054112554114,220
lightgcn_k1,2,head,0.548327796234773,215
lightgcn_k1,3,tail,0.3155612244897959,196
lightgcn_k1,3,lower-mid,0.40846023688663285,197
lightgcn_k1,3,upper-mid,0.4925703463203463,220
lightgcn_k1,3,head,0.5722037652270211,215
lightgcn_k1,4,tail,0.30450680272108843,196
lightgcn_k1,4,lower-mid,0.43104906937394244,197
lightgcn_k1,4,upper-mid,0.48784632034632036,220
lightgcn_k1,4,head,0.5695348837209302,215
lightgcn_k1,5,tail,0.300765306122449,196
lightgcn_k1,5,lower-mid,0.45769881556683595,197
lightgcn_k1,5,upper-mid,0.4864339826839827,220
lightgcn_k1,5,head,0.5648837209302325,215
