dataset,model,seed,k_layers,gamma,residual,embedding_dim,epochs,batch_size,lr,weight_decay,topk,ndcg_at_5,recall_at_5,head_item_share,avg_recommended_train_degree,js_recommendation_vs_random_test,n_eval_users,runtime_seconds,used_cuda
coat,lightgcn_k1,5,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6767292042326214,0.49899654023319506,0.1487544483985765,14.428469750889679,0.04431034437030229,281,8.035475254058838,True
coat,lightgcn_k2,5,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.681179038742477,0.5060728960639992,0.15444839857651246,14.811387900355871,0.05073945729981984,281,9.016479253768921,True
coat,lightgcn_k3,5,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.683104312285615,0.504004758586609,0.15444839857651246,15.01067615658363,0.059787741144711415,281,12.417999267578125,True
coat,corrected_k2,5,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6861237939414376,0.5065884738037763,0.14590747330960854,14.344483985765123,0.04827170588395839,281,10.104034900665283,True
coat,corrected_k2_stronger,5,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.679963401159592,0.5032529303436777,0.14092526690391458,14.195017793594303,0.04248981448961522,281,9.490848302841187,True
coat,zero_hop,6,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6567638384105172,0.47076917250404793,0.14448398576512453,14.254092526690393,0.04583153352034597,281,6.962805509567261,True
coat,lightgcn_k1,6,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.666202476278683,0.4791839783387826,0.14306049822064054,14.281138790035588,0.042455909168264305,281,8.074769973754883,True
coat,lightgcn_k2,6,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6824741643664742,0.5030684370986862,0.15373665480427048,14.84341637010676,0.0536438728157075,281,9.01113510131836,True
coat,lightgcn_k3,6,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6898191589366832,0.5112843809018186,0.16156583629893237,15.197153024911032,0.05888924367148408,281,12.611074209213257,True
coat,corrected_k2,6,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6767939709894852,0.498101814160533,0.15444839857651246,14.624911032028471,0.05189597545687287,281,9.643011331558228,True
coat,corrected_k2_stronger,6,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6795358951005115,0.49696768731466234,0.15088967971530248,14.548042704626335,0.05105911227947576,281,9.564138889312744,True
coat,zero_hop,7,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6460112169976532,0.4597096211420055,0.13523131672597866,13.846263345195728,0.03251710323940356,281,7.109057426452637,True
coat,lightgcn_k1,7,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6815083031177248,0.4913007366299182,0.14590747330960854,14.287544483985764,0.049797350082065844,281,8.075551509857178,True
coat,lightgcn_k2,7,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6888573501833202,0.5093191752889261,0.15800711743772242,14.886120996441282,0.05565759208449131,281,9.429782152175903,True
coat,lightgcn_k3,7,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6917056225437258,0.5132292727043617,0.15587188612099645,15.098932384341637,0.0601533873773642,281,12.718813419342041,True
coat,corrected_k2,7,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6732510201643254,0.48862844845940934,0.15373665480427046,14.609252669039146,0.04780207585764035,281,9.51073145866394,True
coat,corrected_k2_stronger,7,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6783920299167199,0.48872862507204134,0.15373665480427048,14.534519572953736,0.04464103985014599,281,9.328094244003296,True
coat,zero_hop,8,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6394843425617214,0.45753810740465556,0.13807829181494663,13.953736654804269,0.03740479810523505,281,6.93877100944519,True
coat,lightgcn_k1,8,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6688749729502111,0.48304456022427555,0.14306049822064057,14.241281138790033,0.04250904603031778,281,8.072960376739502,True
coat,lightgcn_k2,8,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6774808787117581,0.48729838271653214,0.15160142348754446,14.708896797153024,0.053998545111496515,281,9.111994743347168,True
coat,lightgcn_k3,8,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6886787552509754,0.5064971455985692,0.15800711743772242,15.080427046263347,0.06264379552829392,281,12.58560037612915,True
coat,corrected_k2,8,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6682081058049255,0.4796202561771958,0.14448398576512453,14.339501779359429,0.04384048589730008,281,10.00967526435852,True
coat,corrected_k2_stronger,8,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6610714646427567,0.4704337921864612,0.14092526690391458,14.212811387900354,0.04297716055984536,281,9.369138717651367,True
coat,zero_hop,9,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6590885603260027,0.47899304629731676,0.14163701067615658,14.086120996441283,0.042895896474894196,281,6.92068338394165,True
coat,lightgcn_k1,9,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6688686053144002,0.48633904154366786,0.15160142348754446,14.612811387900356,0.04464866685539511,281,7.92096209526062,True
coat,lightgcn_k2,9,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6790993236852845,0.49648836236914523,0.15373665480427048,14.841281138790034,0.05520848755238502,281,8.97732162475586,True
coat,lightgcn_k3,9,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6808901661549143,0.494585451124597,0.1601423487544484,15.216370106761566,0.06147640760388825,281,12.582870960235596,True
coat,corrected_k2,9,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6732811796583391,0.49313069789048436,0.14733096085409253,14.544483985765124,0.050302088039733676,281,9.635055303573608,True
